driverRef_x,driverRef_y,connection
heidfeld,alesi,constructor
coulthard,hakkinen,constructor
coulthard,damon_hill,constructor
trulli,frentzen,constructor
trulli,panis,constructor
trulli,katayama,constructor
trulli,nakano,constructor
button,ralf_schumacher,constructor
fisichella,wurz,constructor
fisichella,ralf_schumacher,constructor
fisichella,lamy,constructor
barrichello,michael_schumacher,constructor
barrichello,herbert,constructor
barrichello,magnussen,constructor
barrichello,verstappen,constructor
barrichello,brundle,constructor
barrichello,irvine,constructor
barrichello,suzuki,constructor
barrichello,cesaris,constructor
barrichello,capelli,constructor
barrichello,boutsen,constructor
barrichello,apicella,constructor
barrichello,naspetti,constructor
ralf_schumacher,zanardi,constructor
ralf_schumacher,damon_hill,constructor
wurz,alesi,constructor
michael_schumacher,irvine,constructor
michael_schumacher,herbert,constructor
michael_schumacher,verstappen,constructor
michael_schumacher,lehto,constructor
michael_schumacher,patrese,constructor
michael_schumacher,brundle,constructor
michael_schumacher,cesaris,constructor
michael_schumacher,piquet,constructor
villeneuve,zonta,constructor
villeneuve,salo,constructor
villeneuve,frentzen,constructor
villeneuve,damon_hill,constructor
rosa,verstappen,constructor
rosa,takagi,constructor
panis,nakano,constructor
panis,diniz,constructor
panis,suzuki,constructor
panis,brundle,constructor
panis,bernard,constructor
panis,herbert,constructor
panis,lagorce,constructor
gene,mazzacane,constructor
gene,badoer,constructor
gene,sarrazin,constructor
frentzen,damon_hill,constructor
frentzen,herbert,constructor
frentzen,wendlinger,constructor
frentzen,boullion,constructor
frentzen,cesaris,constructor
frentzen,lehto,constructor
verstappen,salo,constructor
verstappen,rosset,constructor
verstappen,schiattarella,constructor
verstappen,lehto,constructor
burti,herbert,constructor
alesi,diniz,constructor
alesi,herbert,constructor
alesi,berger,constructor
alesi,capelli,constructor
alesi,larini,constructor
alesi,prost,constructor
alesi,morbidelli,constructor
alesi,satoru_nakajima,constructor
alesi,palmer,constructor
irvine,herbert,constructor
irvine,salo,constructor
hakkinen,blundell,constructor
hakkinen,mansell,constructor
hakkinen,brundle,constructor
hakkinen,senna,constructor
hakkinen,herbert,constructor
hakkinen,bailey,constructor
hakkinen,bartels,constructor
marques,katayama,constructor
marques,lamy,constructor
salo,diniz,constructor
salo,katayama,constructor
salo,tarquini,constructor
salo,zanardi,constructor
diniz,damon_hill,constructor
diniz,moreno,constructor
herbert,larini,constructor
herbert,morbidelli,constructor
herbert,fontana,constructor
herbert,lamy,constructor
herbert,zanardi,constructor
herbert,adams,constructor
herbert,warwick,constructor
herbert,nannini,constructor
herbert,palmer,constructor
takagi,rosset,constructor
badoer,montermini,constructor
badoer,martini,constructor
badoer,lamy,constructor
badoer,alboreto,constructor
zanardi,bernard,constructor
zanardi,morbidelli,constructor
zanardi,cesaris,constructor
damon_hill,senna,constructor
damon_hill,mansell,constructor
damon_hill,prost,constructor
damon_hill,poele,constructor
rosset,sospiri,constructor
tuero,nakano,constructor
magnussen,blundell,constructor
berger,larini,constructor
berger,senna,constructor
berger,mansell,constructor
berger,alboreto,constructor
berger,fabi,constructor
berger,boutsen,constructor
berger,manfred_winkelhock,constructor
larini,poele,constructor
larini,alliot,constructor
larini,ghinzani,constructor
katayama,blundell,constructor
katayama,cesaris,constructor
katayama,gachot,constructor
morbidelli,inoue,constructor
morbidelli,fittipaldi,constructor
morbidelli,martini,constructor
morbidelli,cesaris,constructor
lamy,lavaggi,constructor
brundle,alliot,constructor
brundle,blundell,constructor
brundle,modena,constructor
brundle,patrese,constructor
brundle,danner,constructor
brundle,streiff,constructor
brundle,johansson,constructor
brundle,bellof,constructor
brundle,capelli,constructor
montermini,gachot,constructor
montermini,lavaggi,constructor
montermini,deletraz,constructor
montermini,brabham,constructor
suzuki,warwick,constructor
suzuki,alboreto,constructor
suzuki,bernard,constructor
suzuki,gachot,constructor
suzuki,schneider,constructor
suzuki,alliot,constructor
inoue,papis,constructor
inoue,brabham,constructor
moreno,mccarthy,constructor
moreno,piquet,constructor
moreno,cesaris,constructor
moreno,martini,constructor
moreno,langes,constructor
moreno,raphanel,constructor
moreno,bertaggia,constructor
moreno,angelis,constructor
wendlinger,lehto,constructor
wendlinger,belmondo,constructor
wendlinger,naspetti,constructor
wendlinger,gugelmin,constructor
gachot,belmondo,constructor
gachot,cesaris,constructor
gachot,johansson,constructor
gachot,raphanel,constructor
schiattarella,brabham,constructor
martini,alboreto,constructor
martini,fittipaldi,constructor
martini,gounon,constructor
martini,lehto,constructor
martini,barilla,constructor
martini,sala,constructor
martini,johansson,constructor
mansell,patrese,constructor
mansell,prost,constructor
mansell,piquet,constructor
mansell,keke_rosberg,constructor
mansell,angelis,constructor
mansell,mario_andretti,constructor
angelis,mario_andretti,constructor
deletraz,noda,constructor
tarquini,chiesa,constructor
tarquini,poele,constructor
tarquini,johansson,constructor
tarquini,barbazza,constructor
tarquini,dalmas,constructor
tarquini,joachim_winkelhock,constructor
tarquini,caffi,constructor
comas,beretta,constructor
comas,alliot,constructor
comas,dalmas,constructor
comas,noda,constructor
comas,toshio_suzuki,constructor
comas,boutsen,constructor
brabham,ratzenberger,constructor
brabham,gounon,constructor
brabham,modena,constructor
senna,andretti,constructor
senna,prost,constructor
senna,satoru_nakajima,constructor
senna,dumfries,constructor
senna,angelis,constructor
senna,cecotto,constructor
senna,johansson,constructor
bernard,alliot,constructor
fittipaldi,barbazza,constructor
alboreto,caffi,constructor
alboreto,johansson,constructor
alboreto,schneider,constructor
alboreto,palmer,constructor
alboreto,alliot,constructor
alboreto,arnoux,constructor
alboreto,sullivan,constructor
alboreto,borgudd,constructor
alboreto,henton,constructor
alboreto,cheever,constructor
lehto,pirro,constructor
lehto,johansson,constructor
lehto,foitek,constructor
cesaris,grouillard,constructor
cesaris,pirro,constructor
cesaris,caffi,constructor
cesaris,patrese,constructor
cesaris,modena,constructor
cesaris,nannini,constructor
cesaris,laffite,constructor
cesaris,hesnault,constructor
cesaris,baldi,constructor
cesaris,giacomelli,constructor
cesaris,watson,constructor
alliot,dalmas,constructor
alliot,raphanel,constructor
alliot,arnoux,constructor
alliot,manfred_winkelhock,constructor
alliot,acheson,constructor
alliot,palmer,constructor
alliot,thackwell,constructor
prost,johansson,constructor
prost,keke_rosberg,constructor
prost,lauda,constructor
prost,watson,constructor
prost,cheever,constructor
prost,arnoux,constructor
warwick,donnelly,constructor
warwick,cheever,constructor
warwick,patrese,constructor
warwick,tambay,constructor
warwick,hesnault,constructor
tambay,hesnault,constructor
warwick,streiff,constructor
streiff,tambay,constructor
warwick,giacomelli,constructor
warwick,fabi,constructor
warwick,henton,constructor
patrese,boutsen,constructor
patrese,schlesser,constructor
patrese,piquet,constructor
patrese,angelis,constructor
patrese,cheever,constructor
patrese,stohr,constructor
patrese,villeneuve_sr,constructor
patrese,mass,constructor
patrese,thackwell,constructor
thackwell,mass,constructor
patrese,manfred_winkelhock,constructor
patrese,stommelen,constructor
patrese,jones,constructor
barbazza,grouillard,constructor
capelli,gugelmin,constructor
boutsen,nannini,constructor
boutsen,fabi,constructor
boutsen,surer,constructor
