driverRef_x,driverRef_y,connection
hamilton,kovalainen,constructor
hamilton,alonso,constructor
hamilton,button,constructor
hamilton,rosberg,constructor
hamilton,bottas,constructor
heidfeld,kubica,constructor
heidfeld,vettel,constructor
heidfeld,villeneuve,constructor
heidfeld,webber,constructor
heidfeld,pantano,constructor
heidfeld,glock,constructor
heidfeld,frentzen,constructor
heidfeld,massa,constructor
heidfeld,raikkonen,constructor
heidfeld,alesi,constructor
heidfeld,kobayashi,constructor
heidfeld,petrov,constructor
rosberg,nakajima,constructor
rosberg,wurz,constructor
rosberg,webber,constructor
rosberg,michael_schumacher,constructor
alonso,piquet_jr,constructor
alonso,fisichella,constructor
alonso,trulli,constructor
alonso,villeneuve,constructor
alonso,marques,constructor
alonso,yoong,constructor
alonso,grosjean,constructor
alonso,massa,constructor
alonso,raikkonen,constructor
alonso,button,constructor
alonso,vandoorne,constructor
alonso,ocon,constructor
kovalainen,fisichella,constructor
kovalainen,trulli,constructor
kovalainen,chandhok,constructor
kovalainen,petrov,constructor
kovalainen,grosjean,constructor
bourdais,vettel,constructor
bourdais,buemi,constructor
raikkonen,massa,constructor
raikkonen,montoya,constructor
raikkonen,rosa,constructor
raikkonen,wurz,constructor
raikkonen,coulthard,constructor
raikkonen,badoer,constructor
raikkonen,fisichella,constructor
raikkonen,grosjean,constructor
raikkonen,ambrosio,constructor
raikkonen,vettel,constructor
raikkonen,giovinazzi,constructor
kubica,petrov,constructor
kubica,russell,constructor
kubica,giovinazzi,constructor
glock,trulli,constructor
glock,grassi,constructor
glock,ambrosio,constructor
glock,pic,constructor
sato,davidson,constructor
sato,ide,constructor
sato,montagny,constructor
sato,yamamoto,constructor
sato,button,constructor
sato,fisichella,constructor
massa,michael_schumacher,constructor
massa,villeneuve,constructor
massa,fisichella,constructor
massa,bottas,constructor
massa,stroll,constructor
coulthard,webber,constructor
coulthard,klien,constructor
coulthard,doornbos,constructor
coulthard,liuzzi,constructor
coulthard,hakkinen,constructor
coulthard,damon_hill,constructor
trulli,ralf_schumacher,constructor
trulli,zonta,constructor
trulli,panis,constructor
trulli,button,constructor
trulli,frentzen,constructor
trulli,alesi,constructor
trulli,katayama,constructor
trulli,nakano,constructor
trulli,kobayashi,constructor
sutil,fisichella,constructor
sutil,albers,constructor
sutil,markus_winkelhock,constructor
sutil,yamamoto,constructor
sutil,liuzzi,constructor
sutil,resta,constructor
sutil,gutierrez,constructor
webber,pizzonia,constructor
webber,klien,constructor
webber,wilson,constructor
webber,yoong,constructor
webber,davidson,constructor
webber,vettel,constructor
button,barrichello,constructor
button,davidson,constructor
button,villeneuve,constructor
button,fisichella,constructor
button,ralf_schumacher,constructor
button,perez,constructor
button,kevin_magnussen,constructor
button,vandoorne,constructor
vettel,liuzzi,constructor
vettel,ricciardo,constructor
vettel,leclerc,constructor
vettel,stroll,constructor
fisichella,firman,constructor
fisichella,baumgartner,constructor
fisichella,wurz,constructor
fisichella,ralf_schumacher,constructor
fisichella,lamy,constructor
barrichello,michael_schumacher,constructor
barrichello,herbert,constructor
barrichello,magnussen,constructor
barrichello,verstappen,constructor
barrichello,brundle,constructor
barrichello,irvine,constructor
