driverRef,forename,surname,dob,nationality_x
mario_andretti,Mario,Andretti,1940-02-28,American
regazzoni,Clay,Regazzoni,1939-09-05,Swiss
emerson_fittipaldi,Emerson,Fittipaldi,1946-12-12,Brazilian
ickx,Jacky,Ickx,1945-01-01,Belgian
peterson,Ronnie,Peterson,1944-02-14,Swedish
stommelen,Rolf,Stommelen,1943-07-11,German
oliver,Jackie,Oliver,1942-08-14,British
amon,Chris,Amon,1943-07-20,New Zealander
pescarolo,Henri,Pescarolo,1942-09-25,French
hill,Graham,Hill,1929-02-15,British
charlton,Dave,Charlton,1936-10-27,South African
hulme,Denny,Hulme,1936-06-18,New Zealander
hailwood,Mike,Hailwood,1940-04-02,British
beltoise,Jean-Pierre,Beltoise,1937-04-26,French
revson,Peter,Revson,1939-02-27,American
driver,Paddy,Driver,1934-05-13,South African
redman,Brian,Redman,1937-03-09,British
schenken,Tim,Schenken,1943-09-26,Australian
wisell,Reine,Wisell,1941-09-30,Swedish
gethin,Peter,Gethin,1940-02-21,British
bell,Derek,Bell,1941-10-31,British
hobbs,David,Hobbs,1939-06-09,British
wietzes,Eppie,Wietzes,1938-05-28,Canadian
cevert,François,Cevert,1944-02-25,French
stewart,Jackie,Stewart,1939-06-11,British
galli,Nanni,Galli,1940-10-02,Italian
adamich,Andrea,de Adamich,1941-10-03,Italian
pretorius,Jackie,Pretorius,1934-11-22,South African
roig,Alex,Soler-Roig,1932-10-29,Spanish
love,John,Love,1924-12-07,Rhodesian
surtees,John,Surtees,1934-02-11,British
brack,Bill,Brack,1935-12-26,Canadian
rodriguez,Pedro,Rodríguez,1940-01-18,Mexican
siffert,Jo,Siffert,1936-07-07,Swiss
bonnier,Jo,Bonnier,1930-01-31,Swedish
elford,Vic,Elford,1935-06-10,British
moser,Silvio,Moser,1941-04-24,Swiss
eaton,George,Eaton,1945-11-12,Canadian
lovely,Pete,Lovely,1926-04-11,American
jack_brabham,Jack,Brabham,1926-04-02,Australian
miles,John,Miles,1943-06-14,British
rindt,Jochen,Rindt,1942-04-18,Austrian
gavin,Johnny,Servoz-Gavin,1942-01-18,French
mclaren,Bruce,McLaren,1937-08-30,New Zealander
courage,Piers,Courage,1942-05-27,British
klerk,Peter,de Klerk,1935-03-16,South African
giunti,Ignazio,Giunti,1941-08-30,Italian
gurney,Dan,Gurney,1931-04-13,American
hahne,Hubert,Hahne,1935-03-28,German
hutchison,Gus,Hutchison,1937-04-26,American
westbury,Peter,Westbury,1938-05-26,British
tingle,Sam,Tingle,1921-08-24,Rhodesian
rooyen,Basil,van Rooyen,1939-04-19,South African
attwood,Richard,Attwood,1940-04-04,British
pease,Al,Pease,1921-10-15,Canadian
cordts,John,Cordts,1935-07-23,Canadian
clark,Jim,Clark,1936-03-04,British
spence,Mike,Spence,1936-12-30,British
scarfiotti,Ludovico,Scarfiotti,1933-10-18,Italian
bianchi,Lucien,Bianchi,1934-11-10,Belgian
jo_schlesser,Jo,Schlesser,1928-05-18,French
widdows,Robin,Widdows,1942-05-27,British
ahrens,Kurt,Ahrens,1940-04-19,German
gardner,Frank,Gardner,1930-10-01,Australian
unser,Bobby,Unser,1934-02-20,American
solana,Moisés,Solana,1935-12-26,Mexican
anderson,Bob,Anderson,1931-05-19,British
botha,Luki,Botha,1930-01-16,South African
bandini,Lorenzo,Bandini,1935-12-21,Italian
ginther,Richie,Ginther,1930-08-05,American
parkes,Mike,Parkes,1931-09-24,British
irwin,Chris,Irwin,1942-06-27,British
ligier,Guy,Ligier,1930-07-12,French
rees,Alan,Rees,1938-01-12,British
hart,Brian,Hart,1936-09-07,British
fisher,Mike,Fisher,1943-03-13,American
tom_jones,Tom,Jones,1943-04-26,American
baghetti,Giancarlo,Baghetti,1934-12-25,Italian
williams,Jonathan,Williams,1942-10-26,British
bondurant,Bob,Bondurant,1933-04-27,American
arundell,Peter,Arundell,1933-11-08,British
vic_wilson,Vic,Wilson,1931-04-14,British
taylor,John,Taylor,1933-03-23,British
lawrence,Chris,Lawrence,1933-07-27,British
trevor_taylor,Trevor,Taylor,1936-12-26,British
geki,Giacomo,Russo,1937-10-23,Italian
phil_hill,Phil,Hill,1927-04-20,American
ireland,Innes,Ireland,1930-06-12,British
bucknum,Ronnie,Bucknum,1936-04-05,American
hawkins,Paul,Hawkins,1937-10-12,Australian
prophet,David,Prophet,1937-10-09,British
maggs,Tony,Maggs,1937-02-09,South African
blokdyk,Trevor,Blokdyk,1935-11-30,South African
lederle,Neville,Lederle,1938-09-25,South African
serrurier,Doug,Serrurier,1920-12-09,South African
niemann,Brausch,Niemann,1939-01-07,South African
pieterse,Ernie,Pieterse,1938-07-04,South African
puzey,Clive,Puzey,1941-07-11,Rhodesian
reed,Ray,Reed,1932-04-30,South African
clapham,David,Clapham,1931-05-18,South African
blignaut,Alex,Blignaut,1932-11-30,South African
gregory,Masten,Gregory,1932-02-29,American
rhodes,John,Rhodes,1927-08-18,British
raby,Ian,Raby,1921-09-22,British
rollinson,Alan,Rollinson,1943-05-15,British
gubby,Brian,Gubby,1934-04-17,British
mitter,Gerhard,Mitter,1935-08-30,German
bussinello,Roberto,Bussinello,1927-10-04,Italian
vaccarella,Nino,Vaccarella,1933-03-04,Italian
bassi,Giorgio,Bassi,1934-01-20,Italian
trintignant,Maurice,Trintignant,1917-10-30,French
collomb,Bernard,Collomb,1930-10-07,French
andre_pilette,André,Pilette,1918-10-06,Belgian
beaufort,Carel Godin,de Beaufort,1934-04-10,Dutch
barth,Edgar,Barth,1917-01-26,German
cabral,Mário de Araújo,Cabral,1934-01-15,Portuguese
hansgen,Walt,Hansgen,1919-10-28,American
sharp,Hap,Sharp,1928-01-01,American
mairesse,Willy,Mairesse,1928-10-01,Belgian
campbell-jones,John,Campbell-Jones,1930-01-21,British
burgess,Ian,Burgess,1930-07-06,British
settember,Tony,Settember,1926-07-10,American
estefano,Nasif,Estéfano,1932-11-18,Argentine
hall,Jim,Hall,1935-07-23,American
parnell,Tim,Parnell,1932-06-25,British
kuhnke,Kurt,Kuhnke,1910-04-30,German
ernesto_brambilla,Ernesto,Brambilla,1934-01-31,Italian
lippi,Roberto,Lippi,1926-10-17,Italian
seiffert,Günther,Seiffert,1937-10-18,German
abate,Carlo,Abate,1932-07-10,Italian
starrabba,Gaetano,Starrabba,1932-12-03,Italian
broeker,Peter,Broeker,1926-05-15,Canadian
ward,Rodger,Ward,1921-01-10,American
vos,Ernie,de Vos,1941-07-01,Dutch
dochnal,Frank,Dochnal,1920-10-08,American
monarch,Thomas,Monarch,1945-09-03,American
lewis,Jackie,Lewis,1936-11-01,British
ricardo_rodriguez,Ricardo,Rodríguez,1942-02-14,Mexican
seidel,Wolfgang,Seidel,1926-07-04,German
salvadori,Roy,Salvadori,1922-05-12,British
pon,Ben,Pon,1936-12-09,Dutch
slotemaker,Rob,Slotemaker,1929-06-13,Dutch
marsh,Tony,Marsh,1931-07-20,British
ashmore,Gerry,Ashmore,1936-07-25,British
schiller,Heinz,Schiller,1930-01-25,Swiss
davis,Colin,Davis,1933-07-29,British
chamberlain,Jay,Chamberlain,1925-12-29,American
shelly,Tony,Shelly,1937-02-02,New Zealander
greene,Keith,Greene,1938-01-05,British
walter,Heini,Walter,1927-07-28,Swiss
prinoth,Ernesto,Prinoth,1923-04-15,Italian
penske,Roger,Penske,1937-02-20,American
schroeder,Rob,Schroeder,1926-05-11,British
mayer,Timmy,Mayer,1938-02-22,American
johnstone,Bruce,Johnstone,1937-01-30,South African
harris,Mike,Harris,1939-05-25,South African
hocking,Gary,Hocking,1937-09-30,Rhodesian
vyver,Syd,van der Vyver,1920-06-01,South African
moss,Stirling,Moss,1929-09-17,British
trips,Wolfgang,von Trips,1928-05-04,German
