driverRef,forename,surname,dob,nationality_x
hamilton,Lewis,Hamilton,1985-01-07,British
alonso,Fernando,Alonso,1981-07-29,Spanish
raikkonen,Kimi,Räikkönen,1979-10-17,Finnish
kubica,Robert,Kubica,1984-12-07,Polish
vettel,Sebastian,Vettel,1987-07-03,German
gasly,Pierre,Gasly,1996-02-07,French
perez,Sergio,Pérez,1990-01-26,Mexican
ricciardo,Daniel,Ricciardo,1989-07-01,Australian
bottas,Valtteri,Bottas,1989-08-28,Finnish
max_verstappen,Max,Verstappen,1997-09-30,Dutch
sainz,Carlos,Sainz,1994-09-01,Spanish
ocon,Esteban,Ocon,1996-09-17,French
stroll,Lance,Stroll,1998-10-29,Canadian
giovinazzi,Antonio,Giovinazzi,1993-12-14,Italian
leclerc,Charles,Leclerc,1997-10-16,Monegasque
norris,Lando,Norris,1999-11-13,British
russell,George,Russell,1998-02-15,British
latifi,Nicholas,Latifi,1995-06-29,Canadian
tsunoda,Yuki,Tsunoda,2000-05-11,Japanese
mazepin,Nikita,Mazepin,1999-03-02,Russian
mick_schumacher,Mick,Schumacher,1999-03-22,German
